Vulnerability,Published Date,Severity
PAN-OS: OS Command Injection Vulnerability in GlobalProtect Gateway,"April 12, 2024",10
Google Chrome Vulnerability: CVE-2024-3516 Heap buffer overflow in ANGLE,"April 11, 2024",4
Google Chrome Vulnerability: CVE-2024-3515 Use after free in Dawn,"April 11, 2024",4
Google Chrome Vulnerability: CVE-2024-3157 Out of bounds write in Compositing,"April 11, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A low-privileged user can access confidential information (JSA75756) (CVE-2024-21615),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series: bbe-smgd process crash upon execution of specific CLI commands (JSA79109) (CVE-2024-30378),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series with SPC3 and MS-MPC/-MIC: When URL filtering is enabled and a specific URL request is received a flowd crash occurs (JSA79092) (CVE-2024-30392),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: Loopback filter not blocking traffic despite having discard term (JSA79100) (CVE-2024-30410),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: A specific EVPN type-5 route causes rpd crash (JSA79094) (CVE-2024-30394),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: Higher CPU consumption on routing engine leads to Denial of Service (DoS) (JSA79099) (CVE-2024-30409),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: If a specific CLI command is issued PFE crashes will occur (JSA79186) (CVE-2024-30384),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX4600 Series: A high amount of specific traffic causes packet drops and an eventual PFE crash (JSA79176) (CVE-2024-30398),"April 10, 2024",4
"Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series with SPC3, and SRX Series: If specific IPsec parameters are negotiated iked will crash due to a memory leak (JSA75750) (CVE-2024-21609)","April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A malformed BGP tunnel encapsulation attribute will lead to an rpd crash (JSA75739) (CVE-2024-21598),"April 10, 2024",4
PAN-OS: User Impersonation in GlobalProtect SSL VPN,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A malformed BGP tunnel encapsulation attribute will lead to an rpd crash (JSA79095) (CVE-2024-30395),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: Junos OS and Junos OS Evolved: RPD crash when CoS-based forwarding (CBF) policy is configured (JSA79174) (CVE-2024-30382),"April 10, 2024",4
PAN-OS: Firewall Denial of Service (DoS) via Malformed NTLM Packets,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX 5000 Series with SPC2: Processing of specific crafted packets when ALG is enabled causes a transit traffic Denial of Service (JSA79105) (CVE-2024-30405),"April 10, 2024",4
SUSE: CVE-2024-3119: SUSE Linux Security Advisory,"April 10, 2024",4
PAN-OS: OS Command Injection Vulnerability in GlobalProtect Gateway,"April 12, 2024",10
Google Chrome Vulnerability: CVE-2024-3157 Out of bounds write in Compositing,"April 11, 2024",4
Google Chrome Vulnerability: CVE-2024-3516 Heap buffer overflow in ANGLE,"April 11, 2024",4
Google Chrome Vulnerability: CVE-2024-3515 Use after free in Dawn,"April 11, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: If a specific CLI command is issued PFE crashes will occur (JSA79186) (CVE-2024-30384),"April 10, 2024",4
"Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: When LLDP is enabled and a malformed LLDP packet is received, l2cpd crashes (JSA75759) (CVE-2024-21618)","April 10, 2024",4
SUSE: CVE-2024-3120: SUSE Linux Security Advisory,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX 300 Series: Specific link local traffic causes a control plane overload (JSA75746) (CVE-2024-21605),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: ACX5448 &amp; ACX710: Due to the interface flaps the PFE process can crash (JSA79187) (CVE-2024-30387),"April 10, 2024",4
"Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series with MPC10, MPC11, LC9600, and MX304: A specific MPLS packet will cause a PFE crash (JSA75732) (CVE-2024-21593)","April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: Firewall filter not blocking egress traffic (JSA79185) (CVE-2024-30389),"April 10, 2024",4
PAN-OS: Firewall Denial of Service (DoS) via a Burst of Crafted Packets,"April 10, 2024",4
SUSE: CVE-2024-3119: SUSE Linux Security Advisory,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin:  Junos OS: An invalid certificate causes a Denial of Service in the Internet Key Exchange (IKE) process (JSA79179) (CVE-2024-30397),"April 10, 2024",4
PAN-OS: Weak Certificate Strength in Panorama Software Leads to Sensitive Information Disclosure,"April 10, 2024",4
PAN-OS: Firewall Denial of Service (DoS) via Malformed NTLM Packets,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: Loopback filter not blocking traffic despite having discard term (JSA79100) (CVE-2024-30410),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A low-privileged user can access confidential information (JSA75756) (CVE-2024-21615),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX 5000 Series with SPC2: Processing of specific crafted packets when ALG is enabled causes a transit traffic Denial of Service (JSA79105) (CVE-2024-30405),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: In a EVPN-VXLAN scenario state changes on adjacent systems can cause an l2ald process crash (JSA79184) (CVE-2024-30386),"April 10, 2024",4
